Chip_ID,Core_Voltage_V,Clock_Freq_GHz,Workload_Load_Pct,Ambient_Temp_C,Fan_Speed_RPM,Junction_Temp_C
IC-1449,1.076,4.35,95.0,25.9,938.0,101.72
IC-1450,0.9,3.35,71.5,27.8,1622.0,83.24
IC-1451,1.316,3.36,54.7,21.6,1449.0,79.07
IC-1452,1.185,3.59,65.6,24.0,3119.0,71.39
IC-1453,1.105,1.83,88.2,30.8,2139.0,80.48
IC-1454,1.394,4.49,61.4,33.2,1633.0,99.61
IC-1455,0.917,2.71,12.7,38.0,2193.0,66.49
IC-1456,1.146,2.58,93.8,36.8,1134.0,98.98
IC-1457,0.857,3.07,72.1,31.6,1866.0,80.97
IC-1458,1.131,1.37,70.9,27.6,2303.0,66.56
IC-1459,0.884,1.8,29.4,31.5,1973.0,61.57
IC-1460,0.921,3.86,69.3,34.1,1764.0,90.06
IC-1461,0.921,1.5,45.4,22.1,3185.0,46.63
IC-1462,1.24,3.37,68.6,27.4,2913.0,77.31
IC-1463,1.298,2.08,19.6,35.1,2296.0,65.86
IC-1464,1.2,2.6,69.2,26.9,2167.0,77.58
IC-1465,1.427,2.24,99.9,30.3,2290.0,90.21
IC-1466,1.075,2.48,14.3,30.6,1283.0,67.97
IC-1467,1.021,3.79,97.9,23.3,1748.0,90.37
IC-1468,1.371,2.27,46.6,26.5,895.0,80.17
IC-1469,0.984,3.24,88.4,26.0,1941.0,83.85
IC-1470,1.428,2.91,80.4,20.5,2103.0,80.03
IC-1471,0.857,3.59,61.0,20.4,1347.0,74.81
IC-1472,1.432,4.57,76.5,35.0,3114.0,95.37
IC-1473,0.876,3.84,89.1,24.9,2983.0,76.92
IC-1474,1.385,1.97,46.4,29.3,2533.0,69.05
IC-1475,1.167,1.31,39.4,25.4,2080.0,59.2
IC-1476,1.446,2.14,70.1,36.9,2888.0,83.21
IC-1477,0.894,3.34,82.7,24.7,1114.0,84.85
IC-1478,1.182,1.39,78.6,27.7,2697.0,66.69
IC-1479,1.432,2.99,81.8,35.7,1100.0,104.46
IC-1480,1.164,3.35,49.2,35.2,2706.0,80.17
IC-1481,1.228,2.4,83.6,23.3,1462.0,80.73
IC-1482,1.267,3.98,20.8,34.4,2905.0,75.09
IC-1483,1.123,1.58,59.0,28.2,3066.0,60.38
IC-1484,1.227,1.47,10.5,28.7,1157.0,63.13
IC-1485,1.201,3.82,39.2,22.4,1910.0,74.52
IC-1486,1.391,2.98,43.0,21.5,3154.0,63.53
IC-1487,0.877,3.68,45.7,33.1,1960.0,76.92
IC-1488,1.019,2.77,72.6,28.9,2873.0,71.4
IC-1489,1.42,2.09,45.0,27.9,2213.0,70.51
IC-1490,1.384,4.15,50.4,33.1,1701.0,92.34
IC-1491,1.123,4.08,31.4,33.8,1486.0,84.81
IC-1492,1.222,3.7,43.6,22.9,1288.0,79.09
IC-1493,1.016,2.18,30.5,31.0,2628.0,61.1
IC-1494,0.963,3.32,16.6,22.4,1728.0,63.43
IC-1495,1.128,2.5,64.3,33.5,2027.0,79.56
IC-1496,1.062,1.53,70.1,31.8,1982.0,73.81
IC-1497,1.2,4.5,65.8,37.2,2185.0,97.01
IC-1498,0.897,1.69,51.7,21.2,2877.0,51.42
IC-1499,1.435,4.62,44.2,21.0,3154.0,74.8
IC-1500,1.442,2.81,87.7,25.1,1778.0,90.08
